IEBCWd_No,Ward,Const_CODE,Constituen,County_COD,County,Male,Female,Total_POP,Region
1243,HOMA BAY WEST,249,HOMA BAY TOWN,43,HOMA BAY,5745,6439,12184,NYANZA
1244,HOMA BAY EAST,249,HOMA BAY TOWN,43,HOMA BAY,13002,14589,27591,NYANZA
1245,KWABWAI,250,NDHIWA,43,HOMA BAY,15017,16579,31596,NYANZA
1246,KANYADOTO,250,NDHIWA,43,HOMA BAY,7818,8513,16331,NYANZA
1247,KANYIKELA,250,NDHIWA,43,HOMA BAY,2999,3284,6283,NYANZA
1248,KABUOCH NORTH,250,NDHIWA,43,HOMA BAY,16767,18503,35270,NYANZA
1249,KABUOCH/PALA,250,NDHIWA,43,HOMA BAY,12507,13825,26332,NYANZA
1250,KANYAMWA KOLOGI,250,NDHIWA,43,HOMA BAY,11177,12265,23442,NYANZA
1251,KANYAMWA KOSEWE,250,NDHIWA,43,HOMA BAY,15666,17292,32958,NYANZA
1252,MFANGANO ISLAND,251,SUBA NORTH,43,HOMA BAY,13509,12611,26120,NYANZA
1253,RUSINGA ISLAND,251,SUBA NORTH,43,HOMA BAY,11879,12396,24275,NYANZA
1254,KASGUNGA,251,SUBA NORTH,43,HOMA BAY,9570,10083,19653,NYANZA
1255,GEMBE,251,SUBA NORTH,43,HOMA BAY,9110,9936,19046,NYANZA
1256,LAMBWE,251,SUBA NORTH,43,HOMA BAY,10874,11441,22315,NYANZA
1257,GWASSI SOUTH,252,SUBA SOUTH,43,HOMA BAY,16733,17830,34563,NYANZA
1258,GWASSI NORTH,252,SUBA SOUTH,43,HOMA BAY,15028,15570,30598,NYANZA
1259,KAKSINGIRI WEST,252,SUBA SOUTH,43,HOMA BAY,12684,13337,26021,NYANZA
1260,KAKSINGIRI EAST,252,SUBA SOUTH,43,HOMA BAY,5793,6079,11872,NYANZA
1261,NORTH KAMAGAMBO,253,RONGO,44,MIGORI,8917,9838,18755,NYANZA
1262,CENTRAL KAMAGAMBO,253,RONGO,44,MIGORI,13219,14537,27756,NYANZA
1263,EAST KAMAGAMBO,253,RONGO,44,MIGORI,12931,13926,26857,NYANZA
1264,SOUTH KAMAGAMBO,253,RONGO,44,MIGORI,13173,14006,27179,NYANZA
1265,NORTH SAKWA,254,AWENDO,44,MIGORI,10930,11944,22874,NYANZA
1266,SOUTH SAKWA,254,AWENDO,44,MIGORI,17792,18408,36200,NYANZA
1267,WEST SAKWA,254,AWENDO,44,MIGORI,10504,11774,22278,NYANZA
1268,CENTRAL SAKWA,254,AWENDO,44,MIGORI,13517,14044,27561,NYANZA
1269,GOD JOPE,255,SUNA EAST,44,MIGORI,8872,9695,18567,NYANZA
1270,SUNA CENTRAL,255,SUNA EAST,44,MIGORI,13558,14087,27645,NYANZA
1271,KAKRAO,255,SUNA EAST,44,MIGORI,16068,17574,33642,NYANZA
1272,KWA,255,SUNA EAST,44,MIGORI,8387,8880,17267,NYANZA
1273,WIGA,256,SUNA WEST,44,MIGORI,11530,12566,24096,NYANZA
1274,WASWETA II,256,SUNA WEST,44,MIGORI,8562,9390,17952,NYANZA
1275,RAGANA-ORUBA,256,SUNA WEST,44,MIGORI,15679,17168,32847,NYANZA
1276,WASIMBETE,256,SUNA WEST,44,MIGORI,9219,10013,19232,NYANZA
1277,WEST KANYAMKAGO,257,URIRI,44,MIGORI,12925,13861,26786,NYANZA
1278,NORTH KANYAMKAGO,257,URIRI,44,MIGORI,14713,15683,30396,NYANZA
1279,CENTRAL KANYAMKAGO,257,URIRI,44,MIGORI,8646,9168,17814,NYANZA
1280,SOUTH KANYAMKAGO,257,URIRI,44,MIGORI,13726,13993,27719,NYANZA
1281,EAST KANYAMKAGO,257,URIRI,44,MIGORI,6338,6698,13036,NYANZA
1282,KACHIENG,258,NYATIKE,44,MIGORI,10660,11115,21775,NYANZA
1283,KANYASA,258,NYATIKE,44,MIGORI,6813,7518,14331,NYANZA
1284,NORTH KADEM,258,NYATIKE,44,MIGORI,14572,16125,30697,NYANZA
1285,MACALDER/KANYARUANDA,258,NYATIKE,44,MIGORI,10800,11891,22691,NYANZA
1286,KALER,258,NYATIKE,44,MIGORI,4602,5173,9775,NYANZA
1287,GOT KACHOLA,258,NYATIKE,44,MIGORI,10636,11702,22338,NYANZA
1288,MUHURU,258,NYATIKE,44,MIGORI,11126,11892,23018,NYANZA
1289,BUKIRA EAST,259,KURIA WEST,44,MIGORI,9516,9960,19476,NYANZA
1290,BUKIRA CENTRAL/IKERE,259,KURIA WEST,44,MIGORI,8884,9256,18140,NYANZA
1291,ISIBANIA,259,KURIA WEST,44,MIGORI,11968,11588,23556,NYANZA
1292,MOKERERO,259,KURIA WEST,44,MIGORI,10585,10397,20982,NYANZA
1293,MASABA,259,KURIA WEST,44,MIGORI,10952,11731,22683,NYANZA
1294,TAGARE,259,KURIA WEST,44,MIGORI,10715,11847,22562,NYANZA
1295,NYAMOSENSE'KOMOSOKO,259,KURIA WEST,44,MIGORI,13190,13352,26542,NYANZA
1296,GOKEHARAKA/GETABWEGA,259,KURIA WEST,44,MIGORI,9882,10430,20312,NYANZA
1297,NTIMARU WEST,260,KURIA EAST,44,MIGORI,9949,10490,20439,NYANZA
1298,NTIMARU EAST,260,KURIA EAST,44,MIGORI,5621,6109,11730,NYANZA
1299,NYABASI EAST,260,KURIA EAST,44,MIGORI,10974,11319,22293,NYANZA
1300,NYABASI WEST,260,KURIA EAST,44,MIGORI,13707,13664,27371,NYANZA
1301,BOMARIBA,261,BONCHARI,45,KISII,9676,10942,20618,NYANZA
1302,BOKIAKUMI,261,BONCHARI,45,KISII,13462,14232,27694,NYANZA
1303,BOMORENDA,261,BONCHARI,45,KISII,15148,16804,31952,NYANZA
1304,RIANA,261,BONCHARI,45,KISII,16296,18055,34351,NYANZA
1305,TABAKA,262,SOUTH MIGIRANGO,45,KISII,15446,16669,32115,NYANZA
1306,BOIKANGA,262,SOUTH MUGIRANGO,45,KISII,9488,10378,19866,NYANZA
1307,BOGETENGA,262,SOUTH MUGIRANGO,45,KISII,12540,13599,26139,NYANZA
1308,BORABU/CHITAGO,262,SOUTH MUGIRANGO,45,KISII,18982,20431,39413,NYANZA
1309,MOTICHO,262,SOUTH MUGIRANGO,45,KISII,13085,13526,26611,NYANZA
1310,GETENGA,262,SOUTH MUGIRANGO,45,KISII,7023,7882,14905,NYANZA
1311,BOMBABA BORABU,263,BOMACHOGE BORABU,45,KISII,11425,12299,23724,NYANZA
1312,BOOCHI BORABU,263,BOMACHOGE BORABU,45,KISII,7859,8414,16273,NYANZA
1313,BOKIMONGE,263,BOMACHOGE BORABU,45,KISII,15937,17562,33499,NYANZA
1314,MAGENCHE,263,BOMACHOGE BORABU,45,KISII,16070,17633,33703,NYANZA
1315,MASIGE WEST,264,BOBASI,45,KISII,8768,9724,18492,NYANZA
1316,MASIGE EAST,264,BOBASI,45,KISII,9051,10119,19170,NYANZA
1317,BASSI CENTRAL,264,BOBASI,45,KISII,11142,12204,23346,NYANZA
1318,NYACHEKI,264,BOBASI,45,KISII,14531,16557,31088,NYANZA
1319,BASSI BOGETAORIO,264,BOBASI,45,KISII,15955,18211,34166,NYANZA
1320,BOBASI CHACHE,264,BOBASI,45,KISII,10428,11576,22004,NYANZA
1321,SAMETA/MOKWERERO,264,BOBASI,45,KISII,10404,10842,21246,NYANZA
1322,BOBASI/BOITANGARE,264,BOBASI,45,KISII,9891,10671,20562,NYANZA
1323,MAJOGE BASSI,265,BOMACHOGE CHACHE,45,KISII,11136,12346,23482,NYANZA
1324,BOOCHI/TENDERE,265,BOMACHOGE CHACHE,45,KISII,15935,17262,33197,NYANZA
1325,BOSOTI/SENGERA,265,BOMACHOGE CHACHE,45,KISII,17726,19125,36851,NYANZA
1326,ICHUNI,266,NYARIBARI MASABA,45,KISII,12973,14751,27724,NYANZA
1327,NYAMASIBI,266,NYARIBARI MASABA,45,KISII,10210,11316,21526,NYANZA
1328,MASIMBA,266,NYARIBARI MASABA,45,KISII,12207,13806,26013,NYANZA
1329,GESUSU,266,NYARIBARI MASABA,45,KISII,12253,13568,25821,NYANZA
1330,KIAMOKAMA,266,NYARIBARI MASABA,45,KISII,10010,10976,20986,NYANZA
1331,BOBARACHO,267,NYARIBARI CHACHE,45,KISII,14291,15047,29338,NYANZA
1332,KISII CENTRAL,267,NYARIBARI CHACHE,45,KISII,15827,16376,32203,NYANZA
1333,KEUMBU,267,NYARIBARI CHACHE,45,KISII,7213,7811,15024,NYANZA
1334,KIOGORO,267,NYARIBARI CHACHE,45,KISII,6221,6881,13102,NYANZA
1335,BIRONGO,267,NYARIBARI CHACHE,45,KISII,9103,10265,19368,NYANZA
1336,IBENO,267,NYARIBARI CHACHE,45,KISII,9909,10801,20710,NYANZA
1337,MONYERERO,268,KITUTU CHACHE NORTH,45,KISII,12992,14619,27611,NYANZA
1338,SENSI,268,KITUTU CHACHE NORTH,45,KISII,12789,14750,27539,NYANZA
1339,MARANI,268,KITUTU CHACHE NORTH,45,KISII,13238,14923,28161,NYANZA
1340,KEGOGI,268,KITUTU CHACHE NORTH,45,KISII,9630,10928,20558,NYANZA
1341,BOGUSERO,269,KITUTU CHACHE SOUTH,45,KISII,11699,13173,24872,NYANZA
1342,BOGEKA,269,KITUTU CHACHE SOUTH,45,KISII,6333,6921,13254,NYANZA
1343,NYAKOE,269,KITUTU CHACHE SOUTH,45,KISII,10883,12213,23096,NYANZA
1344,KITUTU CENTRAL,269,KITUTU CHACHE SOUTH,45,KISII,25566,24797,50363,NYANZA
1345,NYATIEKO,269,KITUTU CHACHE SOUTH,45,KISII,9700,10846,20546,NYANZA
1346,RIGOMA,270,KITUTU MASABA,46,NYAMIRA,20636,22664,43300,NYANZA
1347,GACHUBA,270,KITUTU MASABA,46,NYAMIRA,15046,17259,32305,NYANZA
1348,KEMERA,270,KITUTU MASABA,46,NYAMIRA,16808,18499,35307,NYANZA
1349,MAGOMBO,270,KITUTU MASABA,46,NYAMIRA,10500,11763,22263,NYANZA
1350,MANGA,270,KITUTU MASABA,46,NYAMIRA,14370,15919,30289,NYANZA
1351,GESIMA,270,KITUTU MASABA,46,NYAMIRA,16800,18872,35672,NYANZA
1352,NYAMAIYA,271,WEST MUGIRANGO,46,NYAMIRA,15353,17323,32676,NYANZA
1353,BOGICHORA,271,WEST MUGIRANGO,46,NYAMIRA,19718,22108,41826,NYANZA
1354,BOSAMARO,271,WEST MUGIRANGO,46,NYAMIRA,18839,20919,39758,NYANZA
1355,BONYAMATUTA,271,WEST MUGIRANGO,46,NYAMIRA,12578,13258,25836,NYANZA
1356,TOWNSHIP,271,WEST MUGIRANGO,46,NYAMIRA,9531,10046,19577,NYANZA
1357,ITIBO,272,NORTH MUGIRANGO,46,NYAMIRA,13291,14307,27598,NYANZA
1358,BOMWAGAMO,272,NORTH MUGIRANGO,46,NYAMIRA,8147,9105,17252,NYANZA
1359,BOKEIRA,272,NORTH MUGIRANGO,46,NYAMIRA,15624,16858,32482,NYANZA
1360,MAGWAGWA,272,NORTH MUGIRANGO,46,NYAMIRA,8863,9499,18362,NYANZA
1361,EKERENYO,272,NORTH MUGIRANGO,46,NYAMIRA,12860,13799,26659,NYANZA
1362,MEKENENE,273,BORABU,46,NYAMIRA,9837,9139,18976,NYANZA
1363,KIABONYORU,273,BORABU,46,NYAMIRA,21002,22662,43664,NYANZA
1364,NYANSIONGO,273,BORABU,46,NYAMIRA,13738,13757,27495,NYANZA
1365,ESISE,273,BORABU,46,NYAMIRA,13504,13451,26955,NYANZA
1366,KITISURU,274,WESTLANDS,47,NAIROBI,16627,14615,31242,NAIROBI
1367,PARKLANDS/HIGHRIDGE,274,WESTLANDS,47,NAIROBI,19604,18780,38384,NAIROBI
1368,KARURA,274,WESTLANDS,47,NAIROBI,14077,12376,26453,NAIROBI
1369,KANGEMI,274,WESTLANDS,47,NAIROBI,23141,21423,44564,NAIROBI
1370,MOUTAIN VIEW,274,WESTLANDS,47,NAIROBI,18604,17531,36135,NAIROBI
1371,KILIMANI,275,DAGORETI NORTH,47,NAIROBI,20489,22633,43122,NAIROBI
1372,KAWANGWARE,275,DAGORETI NORTH,47,NAIROBI,14526,12875,27401,NAIROBI
1373,GATINA,275,DAGORETI NORTH,47,NAIROBI,24745,21127,45872,NAIROBI
1374,KILELESHWA,275,DAGORETI NORTH,47,NAIROBI,12206,14996,27202,NAIROBI
1375,KABIRO,275,DAGORETI NORTH,47,NAIROBI,20158,19855,40013,NAIROBI
1376,MUTUINI,276,DAGORETI SOUTH,47,NAIROBI,9014,8959,17973,NAIROBI
1377,NGANDO,276,DAGORETI SOUTH,47,NAIROBI,17615,16399,34014,NAIROBI
1378,RIRUTA,276,DAGORETI SOUTH,47,NAIROBI,32370,32950,65320,NAIROBI
1379,UTHIRU-RUTHIMITU,276,DAGORETI SOUTH,47,NAIROBI,15928,16647,32575,NAIROBI
1380,WAITHAKA,276,DAGORETI SOUTH,47,NAIROBI,15323,15731,31054,NAIROBI
1381,KAREN,277,LANGA'TA,47,NAIROBI,18316,14987,33303,NAIROBI
1382,NAIROBI WEST,277,LANGA'TA,47,NAIROBI,15812,17565,33377,NAIROBI
1383,MUGUMOINI,277,LANGA'TA,47,NAIROBI,22319,24718,47037,NAIROBI
1384,SOUTH 'C',277,LANGA'TA,47,NAIROBI,24028,23174,47202,NAIROBI
1385,NYAYO HIGHRISE,277,LANGA'TA,47,NAIROBI,12859,11332,24191,NAIROBI
1386,LAINI SABA,278,KIBERA,47,NAIROBI,15688,12494,28182,NAIROBI
1387,LINDI,278,KIBERA,47,NAIROBI,29743,22778,52521,NAIROBI
1388,MAKINA,278,KIBERA,47,NAIROBI,18260,16768,35028,NAIROBI
1389,WOODLEY/KENYATTA GOL,278,KIBERA,47,NAIROBI,16715,18640,35355,NAIROBI
1390,SERANGOMBE,278,KIBERA,47,NAIROBI,28807,25540,54347,NAIROBI
1391,GITHURAI,279,ROYSAMBU,47,NAIROBI,22679,24509,47188,NAIROBI
1392,KAHAWA WEST,279,ROYSAMBU,47,NAIROBI,22100,17894,39994,NAIROBI
1393,ZIMMERMAN,279,ROYSAMBU,47,NAIROBI,18382,20530,38912,NAIROBI
1394,ROYSAMBU,279,ROYSAMBU,47,NAIROBI,20635,19696,40331,NAIROBI
1395,KAHAWA,279,ROYSAMBU,47,NAIROBI,12066,13199,25265,NAIROBI
1396,CLAY CITY,280,KASARANI,47,NAIROBI,18999,20964,39963,NAIROBI
1397,MWIKI,280,KASARANI,47,NAIROBI,19450,19706,39156,NAIROBI
1398,KASARANI,280,KASARANI,47,NAIROBI,9639,11714,21353,NAIROBI
1399,NJIRU,280,KASARANI,47,NAIROBI,17677,16846,34523,NAIROBI
1400,RUAI,280,KASARANI,47,NAIROBI,18186,17775,35961,NAIROBI
1401,BABADOGO,281,RUARAKA,47,NAIROBI,21065,18971,40036,NAIROBI
1402,UTALII,281,RUARAKA,47,NAIROBI,19878,16397,36275,NAIROBI
1403,MATHARE NORTH,281,RUARAKA,47,NAIROBI,29597,25561,55158,NAIROBI
1404,LUCKY SUMMER,281,RUARAKA,47,NAIROBI,10330,10375,20705,NAIROBI
1405,KOROGOCHO,281,RUARAKA,47,NAIROBI,21958,19988,41946,NAIROBI
1406,IMARA DAIMA,282,EMBAKASI SOUTH,47,NAIROBI,39465,31176,70641,NAIROBI
1407,KWA NJENGA,282,EMBAKASI SOUTH,47,NAIROBI,13009,11350,24359,NAIROBI
1408,KWA REUBEN,282,EMBAKASI SOUTH,47,NAIROBI,15116,10899,26015,NAIROBI
1409,PIPELINE,282,EMBAKASI SOUTH,47,NAIROBI,29772,26426,56198,NAIROBI
1410,KWARE,282,EMBAKASI SOUTH,47,NAIROBI,13720,10109,23829,NAIROBI
1411,KARIOBANGI NORTH,283,EMBAKASI NORTH,47,NAIROBI,19901,19441,39342,NAIROBI
1412,DANDORA AREA I,283,EMBAKASI NORTH,47,NAIROBI,11436,11366,22802,NAIROBI
1413,DANDORA AREA II,283,EMBAKASI NORTH,47,NAIROBI,16927,16748,33675,NAIROBI
1414,DANDORA AREA III,283,EMBAKASI NORTH,47,NAIROBI,19911,20091,40002,NAIROBI
1415,DANDORA AREA IV,283,EMBAKASI NORTH,47,NAIROBI,23179,22388,45567,NAIROBI
1416,KAYOLE NORTH,284,EMBAKASI CENTRAL,47,NAIROBI,19269,20023,39292,NAIROBI
1417,KAYOLE CENTRAL,284,EMBAKASI CENTRAL,47,NAIROBI,24889,25823,50712,NAIROBI
1418,KAYOLE SOUTH,284,EMBAKASI CENTRAL,47,NAIROBI,25507,24810,50317,NAIROBI
1419,KOMAROCK,284,EMBAKASI CENTRAL,47,NAIROBI,16195,19433,35628,NAIROBI
1420,MATOPENI/SPRING VALL,284,EMBAKASI CENTRAL,47,NAIROBI,7700,7230,14930,NAIROBI
1421,UPPER SAVANNA,285,EMBAKASI EAST,47,NAIROBI,24341,20796,45137,NAIROBI
1422,LOWER SAVANNA,285,EMBAKASI EAST,47,NAIROBI,13723,17028,30751,NAIROBI
1423,EMBAKASI,285,EMBAKASI EAST,47,NAIROBI,17192,16892,34084,NAIROBI
1424,UTAWALA,285,EMBAKASI EAST,47,NAIROBI,15482,15468,30950,NAIROBI
1425,MIHANG'O,285,EMBAKASI EAST,47,NAIROBI,12680,10256,22936,NAIROBI
1426,UMOJA I,286,EMBAKASI WEST,47,NAIROBI,21574,26237,47811,NAIROBI
1427,UMOJA II,286,EMBAKASI WEST,47,NAIROBI,24149,29517,53666,NAIROBI
1428,MOWLEM,286,EMBAKASI WEST,47,NAIROBI,11632,11321,22953,NAIROBI
1429,KARIOBANGI SOUTH,286,EMBAKASI WEST,47,NAIROBI,15362,17674,33036,NAIROBI
1430,MARINGO/HAMZA,287,MAKADARA,47,NAIROBI,25965,26328,52293,NAIROBI
1431,VIWANDANI,287,MAKADARA,47,NAIROBI,25823,19058,44881,NAIROBI
1432,HARAMBEE,287,MAKADARA,47,NAIROBI,24952,30504,55456,NAIROBI
1433,MAKONGENI,287,MAKADARA,47,NAIROBI,16322,14700,31022,NAIROBI
1434,PUMWANI,288,KAMUKUNJI,47,NAIROBI,20797,16805,37602,NAIROBI
1435,EASTLEIGH NORTH,288,KAMUKUNJI,47,NAIROBI,23039,20219,43258,NAIROBI
1436,EASTLEIGH SOUTH,288,KAMUKUNJI,47,NAIROBI,34710,31554,66264,NAIROBI
1437,AIR BASE,288,KAMUKUNJI,47,NAIROBI,23256,19912,43168,NAIROBI
1438,CALIFORNIA,288,KAMUKUNJI,47,NAIROBI,11064,10635,21699,NAIROBI
1439,NAIROBI CENTRAL,289,STAREHE,47,NAIROBI,7542,5786,13328,NAIROBI
1440,NGARA,289,STAREHE,47,NAIROBI,12326,13028,25354,NAIROBI
1441,PANGANI,289,STAREHE,47,NAIROBI,17701,19361,37062,NAIROBI
1442,ZIWANI/KARIOKOR,289,STAREHE,47,NAIROBI,5366,5122,10488,NAIROBI
1443,LAND MAWE,289,STAREHE,47,NAIROBI,15434,11075,26509,NAIROBI
1444,NAIROBI SOUTH,289,STAREHE,47,NAIROBI,27278,26025,53303,NAIROBI
1445,HOSPITAL,290,MATHARE,47,NAIROBI,11205,9258,20463,NAIROBI
1446,MABATINI,290,MATHARE,47,NAIROBI,15286,12974,28260,NAIROBI
1447,HURUMA,290,MATHARE,47,NAIROBI,19683,18289,37972,NAIROBI
1448,NGEI,290,MATHARE,47,NAIROBI,18050,16473,34523,NAIROBI
1449,MLANGO KUBWA,290,MATHARE,47,NAIROBI,20621,17753,38374,NAIROBI
1450,KIAMAIKO,290,MATHARE,47,NAIROBI,17053,16771,33824,NAIROBI
